Name,Type,Mana Cost,Power,Toughness,Text
"Kemba, Kha Enduring",Legendary Creature — Cat Cleric,{1}{W},2,2,"Whenever Kemba, Kha Enduring or another Cat enters the battlefield under your control, attach up to one target Equipment you control to that creature.
Equipped creatures you control get +1/+1.
{3}{W}{W}: Create a 2/2 white Cat creature token."
"Thrun, Breaker of Silence",Legendary Creature — Troll Shaman,{3}{G}{G},5,5,"This spell can't be countered.
Trample
Thrun, Breaker of Silence can't be the target of nongreen spells your opponents control or abilities from nongreen sources your opponents control.
As long as it's your turn, Thrun has indestructible."
"Jor Kadeen, First Goldwarden",Legendary Creature — Human Rebel,{R}{W},2,2,"Trample
Whenever Jor Kadeen, First Goldwarden attacks, it gets +X/+X until end of turn, where X is the number of equipped creatures you control. Then if Jor Kadeen's power is 4 or greater, draw a card."
"Melira, the Living Cure",Legendary Creature — Human Scout,{G}{W},3,3,"If you would get one or more poison counters, instead you get one poison counter and you can't get additional poison counters this turn.
Exile Melira, the Living Cure: Choose another target creature or artifact. When it's put into a graveyard this turn, return that card to the battlefield under its owner's control."
"Graaz, Unstoppable Juggernaut",Legendary Artifact Creature — Juggernaut,{8},7,5,"Juggernauts you control attack each combat if able.
Juggernauts you control can't be blocked by Walls.
Other creatures you control have base power and toughness 5/3 and are Juggernauts in addition to their other creature types."
The Eternal Wanderer,Legendary Planeswalker,{4}{W}{W},,,"No more than one creature can attack The Eternal Wanderer each combat.
[+1]: Exile up to one target artifact or creature. Return that card to the battlefield under its owner's control at the beginning of that player's next end step.
[0]: Create a 2/2 white Samurai creature token with double strike.
[−4]: For each player, choose a creature that player controls. Each player sacrifices all creatures they control not chosen this way."
"Jace, the Perfected Mind",Legendary Planeswalker — Jace,{2}{U}{U/P},,,"Compleated ({U/P} can be paid with {U} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Until your next turn, up to one target creature gets -3/-0.
[−2]: Target player mills three cards. Then if a graveyard has twenty or more cards in it, you draw three cards. Otherwise, you draw a card.
[−X]: Target player mills three times X cards."
"Vraska, Betrayal's Sting",Legendary Planeswalker — Vraska,{4}{B}{B/P},,,"Compleated ({B/P} can be paid with {B} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[0]: You draw a card and you lose 1 life. Proliferate.
[−2]: Target creature becomes a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color"" and loses all other card types and abilities.
[−9]: If target player has fewer than nine poison counters, they get a number of poison counters equal to the difference."
"Koth, Fire of Resistance",Legendary Planeswalker — Koth,{2}{R}{R},,,"[+2]: Search your library for a basic Mountain card, reveal it, put it into your hand, then shuffle.
[−3]: Koth, Fire of Resistance deals damage to target creature equal to the number of Mountains you control.
[−7]: You get an emblem with ""Whenever a Mountain enters the battlefield under your control, this emblem deals 4 damage to any target."""
"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,{3}{G}{G}{G/P}{G/P},,,"Compleated ({G/P} can be paid with {G} or 2 life. For each {G/P} paid with life, this planeswalker enters with two fewer loyalty counters.)
[+1]: Create an X/X green Phyrexian Horror creature token, where X is Nissa, Ascended Animist's loyalty.
[−1]: Destroy target artifact or enchantment.
[−7]: Until end of turn, creatures you control get +1/+1 for each Forest you control and gain trample."
"Kaito, Dancing Shadow",Legendary Planeswalker — Kaito,{2}{U}{B},,,"Whenever one or more creatures you control deal combat damage to a player, you may return one of them to its owner's hand. If you do, you may activate loyalty abilities of Kaito twice this turn rather than only once.
[+1]: Up to one target creature can't attack or block until your next turn.
[0]: Draw a card.
[−2]: Create a 2/2 colorless Drone artifact creature token with deathtouch and ""When this creature leaves the battlefield, each opponent loses 2 life and you gain 2 life."""
"Kaya, Intangible Slayer",Legendary Planeswalker — Kaya,{3}{W}{W}{B}{B},,,"Hexproof
[+2]: Each opponent loses 3 life and you gain 3 life.
[0]: You draw two cards. Then each opponent may scry 1.
[−3]: Exile target creature or enchantment. If it wasn't an Aura, create a token that's a copy of it, except it's a 1/1 white Spirit creature with flying in addition to its other types."
"Lukka, Bound to Ruin",Legendary Planeswalker — Lukka,{2}{R}{R/G/P}{G},,,"Compleated ({R/G/P} can be paid with {R}, {G}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Add {R}{G}. Spend this mana only to cast creature spells or activate abilities of creatures.
[−1]: Create a 3/3 green Phyrexian Beast creature token with toxic 1.
[−4]: Lukka deals X damage divided as you choose among any number of target creatures and/or planeswalkers, where X is the greatest power among creatures you controlled as you activated this ability."
"Nahiri, the Unforgiving",Legendary Planeswalker — Nahiri,{1}{R}{R/W/P}{W},,,"Compleated ({R/W/P} can be paid with {R}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Until your next turn, up to one target creature attacks a player each combat if able.
[+1]: Discard a card, then draw a card.
[0]: Exile target creature or Equipment card with mana value less than Nahiri's loyalty from your graveyard. Create a token that's a copy of it. That token gains haste. Exile it at the beginning of the next end step."
"Tyvar, Jubilant Brawler",Legendary Planeswalker — Tyvar,{1}{B}{G},,,"You may activate abilities of creatures you control as though those creatures had haste.
[+1]: Untap up to one target creature.
[−2]: Mill three cards, then you may return a creature card with mana value 2 or less from your graveyard to the battlefield."
"Elesh Norn, Mother of Machines",Legendary Creature — Phyrexian Praetor,{4}{W},4,7,"Vigilance
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger."
"Mondrak, Glory Dominus",Legendary Creature — Phyrexian Horror,{2}{W}{W},4,4,"If one or more tokens would be created under your control, twice that many of those tokens are created instead.
{1}{W/P}{W/P}, Sacrifice two other artifacts and/or creatures: Put an indestructible counter on Mondrak, Glory Dominus. ({W/P} can be paid with either {W} or 2 life.)"
Phyrexian Vindicator,Creature — Phyrexian Horror,{W}{W}{W}{W},5,5,"Flying
If damage would be dealt to Phyrexian Vindicator, prevent that damage. When damage is prevented this way, Phyrexian Vindicator deals that much damage to any other target."
Ichormoon Gauntlet,Artifact,{2}{U},,,"Planeswalkers you control have ""[0]: Proliferate"" and ""[−12]: Take an extra turn after this one.""
Whenever you cast a noncreature spell, choose a counter on target permanent. Put an additional counter of that kind on that permanent."
"Tekuthal, Inquiry Dominus",Legendary Creature — Phyrexian Horror,{2}{U}{U},3,5,"Flying
If you would proliferate, proliferate twice instead.
{1}{U/P}{U/P}, Remove three counters from among other artifacts, creatures, and planeswalkers you control: Put an indestructible counter on Tekuthal, Inquiry Dominus. ({U/P} can be paid with either {U} or 2 life.)"
"Drivnod, Carnage Dominus",Legendary Creature — Phyrexian Horror,{3}{B}{B},8,3,"If a creature dying causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
{B/P}{B/P}, Exile three creature cards from your graveyard: Put an indestructible counter on Drivnod, Carnage Dominus. ({B/P} can be paid with either {B} or 2 life.)"
Phyrexian Obliterator,Creature — Phyrexian Horror,{B}{B}{B}{B},5,5,"Trample
Whenever a source deals damage to Phyrexian Obliterator, that source's controller sacrifices that many permanents."
All Will Be One,Enchantment,{3}{R}{R},,,"Whenever you put one or more counters on a permanent or player, All Will Be One deals that much damage to target opponent, creature an opponent controls, or planeswalker an opponent controls."
Capricious Hellraiser,Creature — Phyrexian Dragon,{3}{R}{R}{R},4,4,"This spell costs {3} less to cast if you have nine or more cards in your graveyard.
Flying
When Capricious Hellraiser enters the battlefield, exile three cards at random from your graveyard. Choose a noncreature, nonland card from among them and copy it. You may cast the copy without paying its mana cost."
"Solphim, Mayhem Dominus",Legendary Creature — Phyrexian Horror,{2}{R}{R},5,4,"If a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals double that damage to that player or permanent instead.
{1}{R/P}{R/P}, Discard two cards: Put an indestructible counter on Solphim, Mayhem Dominus. ({R/P} can be paid with either {R} or 2 life.)"
Tyrranax Rex,Creature — Phyrexian Dinosaur,{4}{G}{G}{G},8,8,"This spell can't be countered.
Trample, ward {4}, haste
Toxic 4 (Players dealt combat damage by this creature also get four poison counters.)"
"Zopandrel, Hunger Dominus",Legendary Creature — Phyrexian Horror,{5}{G}{G},4,6,"Reach
At the beginning of each combat, double the power and toughness of each creature you control until end of turn.
{G/P}{G/P}, Sacrifice two other creatures: Put an indestructible counter on Zopandrel, Hunger Dominus. ({G/P} can be paid with either {G} or 2 life.)"
"Atraxa, Grand Unifier",Legendary Creature — Phyrexian Angel,{3}{G}{W}{U}{B},7,7,"Flying, vigilance, deathtouch, lifelink
When Atraxa, Grand Unifier enters the battlefield, reveal the top ten cards of your library. For each card type, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order. (Artifact, battle, creature, enchantment, instant, land, planeswalker, and sorcery are card types.)"
Staff of Compleation,Artifact,{3},,,"{T}, Pay 1 life: Destroy target permanent you own.
{T}, Pay 2 life: Add one mana of any color.
{T}, Pay 3 life: Proliferate.
{T}, Pay 4 life: Draw a card.
{5}: Untap Staff of Compleation."
Sword of Forge and Frontier,Artifact — Equipment,{3},,,"Equipped creature gets +2/+2 and has protection from red and from green.
Whenever equipped creature deals combat damage to a player, exile the top two cards of your library. You may play those cards this turn. You may play an additional land this turn.
Equip {2}"
"Jace, the Perfected Mind",Legendary Planeswalker — Jace,{2}{U}{U/P},,,"Compleated ({U/P} can be paid with {U} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Until your next turn, up to one target creature gets -3/-0.
[−2]: Target player mills three cards. Then if a graveyard has twenty or more cards in it, you draw three cards. Otherwise, you draw a card.
[−X]: Target player mills three times X cards."
"Vraska, Betrayal's Sting",Legendary Planeswalker — Vraska,{4}{B}{B/P},,,"Compleated ({B/P} can be paid with {B} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[0]: You draw a card and you lose 1 life. Proliferate.
[−2]: Target creature becomes a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color"" and loses all other card types and abilities.
[−9]: If target player has fewer than nine poison counters, they get a number of poison counters equal to the difference."
"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,{3}{G}{G}{G/P}{G/P},,,"Compleated ({G/P} can be paid with {G} or 2 life. For each {G/P} paid with life, this planeswalker enters with two fewer loyalty counters.)
[+1]: Create an X/X green Phyrexian Horror creature token, where X is Nissa, Ascended Animist's loyalty.
[−1]: Destroy target artifact or enchantment.
[−7]: Until end of turn, creatures you control get +1/+1 for each Forest you control and gain trample."
"Lukka, Bound to Ruin",Legendary Planeswalker — Lukka,{2}{R}{R/G/P}{G},,,"Compleated ({R/G/P} can be paid with {R}, {G}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Add {R}{G}. Spend this mana only to cast creature spells or activate abilities of creatures.
[−1]: Create a 3/3 green Phyrexian Beast creature token with toxic 1.
[−4]: Lukka deals X damage divided as you choose among any number of target creatures and/or planeswalkers, where X is the greatest power among creatures you controlled as you activated this ability."
"Nahiri, the Unforgiving",Legendary Planeswalker — Nahiri,{1}{R}{R/W/P}{W},,,"Compleated ({R/W/P} can be paid with {R}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Until your next turn, up to one target creature attacks a player each combat if able.
[+1]: Discard a card, then draw a card.
[0]: Exile target creature or Equipment card with mana value less than Nahiri's loyalty from your graveyard. Create a token that's a copy of it. That token gains haste. Exile it at the beginning of the next end step."
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
Blackcleave Cliffs,Land,,,,"Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {R}."
Copperline Gorge,Land,,,,"Copperline Gorge enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {R} or {G}."
Darkslick Shores,Land,,,,"Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {U} or {B}."
Razorverge Thicket,Land,,,,"Razorverge Thicket enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {W}."
Seachrome Coast,Land,,,,"Seachrome Coast enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {W} or {U}."
Norn's Wellspring,Artifact,{1}{W},,,"Whenever a creature you control dies, scry 1 and put an oil counter on Norn's Wellspring.
{1}, {T}, Remove two oil counters from Norn's Wellspring: Draw a card."
Skrelv's Hive,Enchantment,{1}{W},,,"At the beginning of your upkeep, you lose 1 life and create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and ""This creature can't block.""
Corrupted — As long as an opponent has three or more poison counters, creatures you control with toxic have lifelink."
White Sun's Twilight,Sorcery,{X}{W}{W},,,"You gain X life. Create X 1/1 colorless Phyrexian Mite artifact creature tokens with toxic 1 and ""This creature can't block."" If X is 5 or more, destroy all other creatures. (Players dealt combat damage by a creature with toxic 1 also get a poison counter.)"
Blade of Shared Souls,Artifact — Equipment,{2}{U},,,"For Mirrodin! (When this Equipment enters the battlefield, create a 2/2 red Rebel creature token, then attach this to it.)
Whenever Blade of Shared Souls becomes attached to a creature, for as long as Blade of Shared Souls remains attached to it, you may have that creature become a copy of another target creature you control.
Equip {2}"
Blue Sun's Twilight,Sorcery,{X}{U}{U},,,"Gain control of target creature with mana value X or less. If X is 5 or more, create a token that's a copy of that creature."
Encroaching Mycosynth,Artifact,{3}{U},,,Nonland permanents you control are artifacts in addition to their other types. The same is true for permanent spells you control and nonland permanent cards you own that aren't on the battlefield.
Mercurial Spelldancer,Creature — Phyrexian Rogue,{1}{U},2,1,"Mercurial Spelldancer can't be blocked.
Whenever you cast a noncreature spell, put an oil counter on Mercurial Spelldancer.
Whenever Mercurial Spelldancer deals combat damage to a player, you may remove two oil counters from it. If you do, when you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy."
Mindsplice Apparatus,Artifact,{3}{U},,,"Flash
At the beginning of your upkeep, put an oil counter on Mindsplice Apparatus.
Instant and sorcery spells you cast cost {1} less to cast for each oil counter on Mindsplice Apparatus."
Black Sun's Twilight,Instant,{X}{B},,,"Up to one target creature gets -X/-X until end of turn. If X is 5 or more, return a creature card with mana value X or less from your graveyard to the battlefield tapped."
Phyrexian Arena,Enchantment,{1}{B}{B},,,"At the beginning of your upkeep, you draw a card and you lose 1 life."
Dragonwing Glider,Artifact — Equipment,{3}{R}{R},,,"For Mirrodin! (When this Equipment enters the battlefield, create a 2/2 red Rebel creature token, then attach this to it.)
Equipped creature gets +2/+2 and has flying and haste.
Equip {3}{R}{R}"
Red Sun's Twilight,Sorcery,{X}{R}{R},,,"Destroy up to X target artifacts. If X is 5 or more, for each artifact destroyed this way, create a token that's a copy of it. Those tokens gain haste. Exile them at the beginning of the next end step."
Urabrask's Forge,Artifact,{2}{R},,,"At the beginning of combat on your turn, put an oil counter on Urabrask's Forge, then create an X/1 red Phyrexian Horror creature token with trample and haste, where X is the number of oil counters on Urabrask's Forge. Sacrifice that token at the beginning of the next end step."
Vindictive Flamestoker,Creature — Phyrexian Wizard,{R},1,2,"Whenever you cast a noncreature spell, put an oil counter on Vindictive Flamestoker.
{6}{R}, Sacrifice Vindictive Flamestoker: Discard your hand, then draw four cards. This ability costs {1} less to activate for each oil counter on Vindictive Flamestoker."
Bloated Contaminator,Creature — Phyrexian Beast,{2}{G},4,4,"Trample
Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Whenever Bloated Contaminator deals combat damage to a player, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Conduit of Worlds,Artifact,{2}{G}{G},,,"You may play lands from your graveyard.
{T}: Choose target nonland permanent card in your graveyard. If you haven't cast a spell this turn, you may cast that card. If you do, you can't cast additional spells this turn. Activate only as a sorcery."
Green Sun's Twilight,Sorcery,{X}{G},,,"Reveal the top X plus one cards of your library. Choose a creature card and/or a land card from among them. Put those cards into your hand and the rest on the bottom of your library in a random order. If X is 5 or more, instead put the chosen cards onto the battlefield or into your hand and the rest on the bottom of your library in a random order."
Venerated Rotpriest,Creature — Phyrexian Druid,{G},1,2,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Whenever a creature you control becomes the target of a spell, target opponent gets a poison counter."
Argentum Masticore,Artifact Creature — Phyrexian Masticore,{5},5,5,"First strike, protection from multicolored
At the beginning of your upkeep, sacrifice Argentum Masticore unless you discard a card. When you discard a card this way, destroy target nonland permanent an opponent controls with mana value less than or equal to the mana value of the discarded card."
The Filigree Sylex,Legendary Artifact,{2},,,"{T}: Put an oil counter on The Filigree Sylex.
{T}, Sacrifice The Filigree Sylex: Destroy each nonland permanent with mana value equal to the number of oil counters on The Filigree Sylex.
{T}, Remove ten oil counters from among permanents you control and sacrifice The Filigree Sylex: It deals 10 damage to any target."
Mirran Safehouse,Artifact,{3},,,"As long as Mirran Safehouse is on the battlefield, it has all activated abilities of all land cards in all graveyards."
Monument to Perfection,Artifact,{2},,,"{3}, {T}: Search your library for a basic, Sphere, or Locus land card, reveal it, put it into your hand, then shuffle.
{3}: Monument to Perfection becomes a 9/9 Phyrexian Construct artifact creature, loses all abilities, and gains indestructible and toxic 9. Activate only if there are nine or more lands with different names among the basic, Sphere, and Locus lands you control."
Soulless Jailer,Artifact Creature — Phyrexian Golem,{2},0,4,"Permanent cards in graveyards can't enter the battlefield.
Players can't cast noncreature spells from graveyards or exile."
Tablet of Compleation,Artifact,{2},,,"{T}: Put an oil counter on Tablet of Compleation.
{T}: Add {C}. Activate only if Tablet of Compleation has two or more oil counters on it.
{1}, {T}: Draw a card. Activate only if Tablet of Compleation has five or more oil counters on it."
Zenith Chronicler,Artifact Creature — Phyrexian Construct,{2},3,1,"Whenever a player casts their first multicolored spell each turn, each other player draws a card."
Mirrex,Land — Sphere,,,,"{T}: Add {C}.
{T}: Add one mana of any color. Activate only if Mirrex entered the battlefield this turn.
{3}, {T}: Create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and ""This creature can't block."" (Players dealt combat damage by it also get a poison counter.)"
The Monumental Facade,Land — Sphere,,,,"The Monumental Facade enters the battlefield with two oil counters on it.
{T}: Add {C}.
{T}, Remove an oil counter from The Monumental Facade: Put an oil counter on target artifact or creature you control. Activate only as a sorcery."
The Mycosynth Gardens,Land — Sphere,,,,"{T}: Add {C}.
{1}, {T}: Add one mana of any color.
{X}, {T}: The Mycosynth Gardens becomes a copy of target nontoken artifact you control with mana value X."
The Seedcore,Land — Sphere,,,,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast Phyrexian creature spells.
Corrupted — {T}: Target 1/1 creature gets +2/+1 until end of turn. Activate only if an opponent has three or more poison counters."
Mite Overseer,Creature — Phyrexian Soldier,{3}{W},4,2,"First strike
As long as it's your turn, creature tokens you control get +1/+0 and have first strike.
{3}{W/P}: Create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and ""This creature can't block."" (Players dealt combat damage by it also get a poison counter. {W/P} can be paid with either {W} or 2 life.)"
Serum Sovereign,Creature — Phyrexian Sphinx,{4}{U},4,4,"Flying
Whenever you cast a noncreature spell, put an oil counter on Serum Sovereign.
{U}, Remove an oil counter from Serum Sovereign: Draw a card, then scry 2."
Kinzu of the Bleak Coven,Legendary Creature — Phyrexian Vampire,{4}{B},5,4,"Flying
Whenever another nontoken creature you control dies, you may pay 2 life and exile it. If you do, create a token that's a copy of that creature, except it's 1/1 and has toxic 1. (Players dealt combat damage by it also get a poison counter.)"
"Rhuk, Hexgold Nabber",Legendary Creature — Goblin Rebel,{2}{R},2,2,"Trample, haste
Whenever an equipped creature you control other than Rhuk, Hexgold Nabber attacks or dies, you may attach all Equipment attached to that creature to Rhuk."
Goliath Hatchery,Enchantment,{4}{G}{G},,,"When Goliath Hatchery enters the battlefield, create two 3/3 green Phyrexian Beast creature tokens with toxic 1. (Players dealt combat damage by them also get a poison counter.)
Corrupted — At the beginning of your upkeep, if an opponent has three or more poison counters, choose a creature you control, then draw cards equal to its total toxic value."
Mite Overseer,Creature — Phyrexian Soldier,{3}{W},4,2,"First strike
As long as it's your turn, creature tokens you control get +1/+0 and have first strike.
{3}{W/P}: Create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and ""This creature can't block."" (Players dealt combat damage by it also get a poison counter. {W/P} can be paid with either {W} or 2 life.)"
Serum Sovereign,Creature — Phyrexian Sphinx,{4}{U},4,4,"Flying
Whenever you cast a noncreature spell, put an oil counter on Serum Sovereign.
{U}, Remove an oil counter from Serum Sovereign: Draw a card, then scry 2."
Kinzu of the Bleak Coven,Legendary Creature — Phyrexian Vampire,{4}{B},5,4,"Flying
Whenever another nontoken creature you control dies, you may pay 2 life and exile it. If you do, create a token that's a copy of that creature, except it's 1/1 and has toxic 1. (Players dealt combat damage by it also get a poison counter.)"
"Rhuk, Hexgold Nabber",Legendary Creature — Goblin Rebel,{2}{R},2,2,"Trample, haste
Whenever an equipped creature you control other than Rhuk, Hexgold Nabber attacks or dies, you may attach all Equipment attached to that creature to Rhuk."
Goliath Hatchery,Enchantment,{4}{G}{G},,,"When Goliath Hatchery enters the battlefield, create two 3/3 green Phyrexian Beast creature tokens with toxic 1. (Players dealt combat damage by them also get a poison counter.)
Corrupted — At the beginning of your upkeep, if an opponent has three or more poison counters, choose a creature you control, then draw cards equal to its total toxic value."
"Elesh Norn, Mother of Machines",Legendary Creature — Phyrexian Praetor,{4}{W},4,7,"Vigilance
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger."
"Elesh Norn, Mother of Machines",Legendary Creature — Phyrexian Praetor,{4}{W},4,7,"Vigilance
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger."
"Elesh Norn, Mother of Machines",Legendary Creature — Phyrexian Praetor,{4}{W},4,7,"Vigilance
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger."
Bladed Ambassador,Creature — Phyrexian Soldier,{1}{W},3,1,"Bladed Ambassador enters the battlefield with an oil counter on it.
{1}, Remove an oil counter from Bladed Ambassador: Bladed Ambassador gains indestructible until end of turn."
"Elesh Norn, Mother of Machines",Legendary Creature — Phyrexian Praetor,{4}{W},4,7,"Vigilance
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger."
"Elesh Norn, Mother of Machines",Legendary Creature — Phyrexian Praetor,{4}{W},4,7,"Vigilance
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger."
"Elesh Norn, Mother of Machines",Legendary Creature — Phyrexian Praetor,{4}{W},4,7,"Vigilance
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger."
"Elesh Norn, Mother of Machines",Legendary Creature — Phyrexian Praetor,{4}{W},4,7,"Vigilance
If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger."
The Eternal Wanderer,Legendary Planeswalker,{4}{W}{W},,,"No more than one creature can attack The Eternal Wanderer each combat.
[+1]: Exile up to one target artifact or creature. Return that card to the battlefield under its owner's control at the beginning of that player's next end step.
[0]: Create a 2/2 white Samurai creature token with double strike.
[−4]: For each player, choose a creature that player controls. Each player sacrifices all creatures they control not chosen this way."
"Kemba, Kha Enduring",Legendary Creature — Cat Cleric,{1}{W},2,2,"Whenever Kemba, Kha Enduring or another Cat enters the battlefield under your control, attach up to one target Equipment you control to that creature.
Equipped creatures you control get +1/+1.
{3}{W}{W}: Create a 2/2 white Cat creature token."
"Mondrak, Glory Dominus",Legendary Creature — Phyrexian Horror,{2}{W}{W},4,4,"If one or more tokens would be created under your control, twice that many of those tokens are created instead.
{1}{W/P}{W/P}, Sacrifice two other artifacts and/or creatures: Put an indestructible counter on Mondrak, Glory Dominus. ({W/P} can be paid with either {W} or 2 life.)"
Phyrexian Vindicator,Creature — Phyrexian Horror,{W}{W}{W}{W},5,5,"Flying
If damage would be dealt to Phyrexian Vindicator, prevent that damage. When damage is prevented this way, Phyrexian Vindicator deals that much damage to any other target."
Sinew Dancer,Creature — Phyrexian Soldier,{W},1,1,"{3}{W}, {T}: Tap target creature.
Corrupted — {W}, {T}: Tap target creature. Activate only if an opponent has three or more poison counters."
"Skrelv, Defector Mite",Legendary Artifact Creature — Phyrexian Mite,{W},1,1,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Skrelv, Defector Mite can't block.
{W/P}, {T}: Choose a color. Another target creature you control gains toxic 1 and hexproof from that color until end of turn. It can't be blocked by creatures of that color this turn. ({W/P} can be paid with either {W} or 2 life.)"
"Jace, the Perfected Mind",Legendary Planeswalker — Jace,{2}{U}{U/P},,,"Compleated ({U/P} can be paid with {U} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Until your next turn, up to one target creature gets -3/-0.
[−2]: Target player mills three cards. Then if a graveyard has twenty or more cards in it, you draw three cards. Otherwise, you draw a card.
[−X]: Target player mills three times X cards."
"Jace, the Perfected Mind",Legendary Planeswalker — Jace,{2}{U}{U/P},,,"Compleated ({U/P} can be paid with {U} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Until your next turn, up to one target creature gets -3/-0.
[−2]: Target player mills three cards. Then if a graveyard has twenty or more cards in it, you draw three cards. Otherwise, you draw a card.
[−X]: Target player mills three times X cards."
Quicksilver Fisher,Creature — Phyrexian Drake,{3}{U}{U},4,3,"Flying
When Quicksilver Fisher enters the battlefield, draw a card, then discard a card."
"Tekuthal, Inquiry Dominus",Legendary Creature — Phyrexian Horror,{2}{U}{U},3,5,"Flying
If you would proliferate, proliferate twice instead.
{1}{U/P}{U/P}, Remove three counters from among other artifacts, creatures, and planeswalkers you control: Put an indestructible counter on Tekuthal, Inquiry Dominus. ({U/P} can be paid with either {U} or 2 life.)"
Thrummingbird,Creature — Phyrexian Bird Horror,{1}{U},1,1,"Flying
Whenever Thrummingbird deals combat damage to a player, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
"Unctus, Grand Metatect",Legendary Artifact Creature — Phyrexian Vedalken,{1}{U}{U},2,4,"Other blue creatures you control have ""Whenever this creature becomes tapped, draw a card, then discard a card.""
Other artifact creatures you control get +1/+1.
{U/P}: Until end of turn, target creature you control becomes a blue artifact in addition to its other colors and types. Activate only as a sorcery. ({U/P} can be paid with either {U} or 2 life.)"
Archfiend of the Dross,Creature — Phyrexian Demon,{2}{B}{B},6,6,"Flying
Archfiend of the Dross enters the battlefield with four oil counters on it.
At the beginning of your upkeep, remove an oil counter from Archfiend of the Dross. Then if it has no oil counters on it, you lose the game.
Whenever a creature an opponent controls dies, its controller loses 2 life."
Blightbelly Rat,Creature — Phyrexian Rat,{1}{B},2,2,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
When Blightbelly Rat dies, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Bonepicker Skirge,Creature — Phyrexian Imp,{2}{B},2,2,"Flying
Corrupted — As long as an opponent has three or more poison counters, Bonepicker Skirge has deathtouch and lifelink."
